"id","slasher_id","slashee_id","relation_tag"
1,17,54,"xsub"
2,31,33,"xsub"
3,35,40,"xsub"
4,37,39,"xsub"
5,51,50,"xsub"
6,74,75,"xsub"
7,75,72,"xsub"
8,136,119,"xsub"
9,151,146,"xsub"
10,152,158,"xsub"
11,168,166,"xsub"
12,170,173,"xsub"
13,196,192,"xsub"
14,201,186,"xsub"
15,206,207,"xsub"
16,207,186,"xsub"
17,215,216,"xsub"
18,228,225,"xsub"
19,248,247,"xsub"
20,267,286,"xsub"
21,269,271,"xsub"
22,271,270,"xsub"
23,292,291,"xsub"
24,303,299,"xsub"
25,313,316,"xsub"
26,319,322,"xsub"
27,321,326,"xsub"
28,330,328,"xsub"
29,334,328,"xsub"
30,339,335,"xsub"
31,343,344,"xsub"
32,344,328,"sub"
33,344,330,"xadv"
34,344,334,"xadv"
35,344,342,"obj"
36,357,356,"xsub"
37,358,354,"xsub"
38,359,362,"xsub"
39,363,369,"xsub"
40,382,373,"obl"
41,382,375,"pid"
42,387,401,"xsub"
43,388,401,"xsub"
44,394,395,"xsub"
45,396,392,"xsub"
46,408,411,"xsub"
47,414,412,"sub"
48,421,422,"xsub"
49,423,412,"xsub"
50,427,425,"xsub"
51,440,443,"xsub"
52,449,448,"xsub"
53,453,443,"xsub"
54,457,462,"xsub"
55,462,443,"sub"
56,476,473,"xsub"
57,482,479,"xsub"
58,485,488,"xsub"
59,503,505,"xsub"
60,505,500,"xsub"
61,506,488,"xsub"
62,510,488,"sub"
63,515,513,"xsub"
64,529,526,"xsub"
65,533,534,"xsub"
66,545,544,"xsub"
67,546,548,"xsub"
68,548,539,"sub"
69,553,555,"xsub"
70,564,561,"xsub"
71,570,567,"xsub"
72,577,571,"xsub"
73,582,573,"pid"
74,583,579,"xsub"
75,603,588,"pid"
76,604,588,"pid"
77,605,588,"pid"
78,606,588,"pid"
79,621,610,"pid"
80,638,631,"xsub"
81,655,652,"xsub"
82,656,655,"xsub"
83,662,664,"xsub"
84,690,688,"obj"
85,699,700,"xsub"
86,700,697,"obj"
87,715,712,"xsub"
