"id","title","citation_part","language_tag","author","code","electronic_text_original_url","printed_text_date"
1,"The Peloponnesian War","Thuc.","grc","Thucydides","tlg0003.tlg001","http://data.perseus.org/texts/urn:cts:greekLit:tlg0003.tlg001","5th c. BC"
2,"Lives of Eminent Philosophers","D. L.","grc","Diogenes Laertius","tlg0004.tlg001","http://data.perseus.org/texts/urn:cts:greekLit:tlg0004.tlg001","3rd c."
3,"Idylls","Theoc.","grc","Theocritus","tlg0005.tlg001","http://data.perseus.org/texts/urn:cts:greekLit:tlg0005.tlg001","3rd c. BC"
4,"Cyclops","Eur. Cycl.","grc","Euripides","tlg0006.tlg001","http://data.perseus.org/texts/urn:cts:greekLit:tlg0006.tlg001","5th c. BC"
5,"Alcestis","Eur. Alc.","grc","Euripides","tlg0006.tlg002","http://data.perseus.org/texts/urn:cts:greekLit:tlg0006.tlg002","5th c. BC"
6,"Medea","Eur. Med.","grc","Euripides","tlg0006.tlg003","http://data.perseus.org/texts/urn:cts:greekLit:tlg0006.tlg003","5th c. BC"
7,"Heracleidae","Eur. Heraclid.","grc","Euripides","tlg0006.tlg004","http://data.perseus.org/texts/urn:cts:greekLit:tlg0006.tlg004","5th c. BC"
8,"Hippolytus","Eur. Hipp.","grc","Euripides","tlg0006.tlg005","http://data.perseus.org/texts/urn:cts:greekLit:tlg0006.tlg005","5th c. BC"
9,"Andromache","Eur. Andr.","grc","Euripides","tlg0006.tlg006","http://data.perseus.org/texts/urn:cts:greekLit:tlg0006.tlg006","5th c. BC"
10,"Hecuba","Eur. Hec.","grc","Euripides","tlg0006.tlg007","http://data.perseus.org/texts/urn:cts:greekLit:tlg0006.tlg007","5th c. BC"
11,"Suppliants","Eur. Supp.","grc","Euripides","tlg0006.tlg008","http://data.perseus.org/texts/urn:cts:greekLit:tlg0006.tlg008","5th c. BC"
12,"Heracles","Eur. Her.","grc","Euripides","tlg0006.tlg009","http://data.perseus.org/texts/urn:cts:greekLit:tlg0006.tlg009","5th c. BC"
13,"Ion","Eur. Ion","grc","Euripides","tlg0006.tlg010","http://data.perseus.org/texts/urn:cts:greekLit:tlg0006.tlg010","5th c. BC"
14,"The Trojan Women","Eur. Tro.","grc","Euripides","tlg0006.tlg011","http://data.perseus.org/citations/urn:cts:greekLit:tlg0006.tlg011","5th c. BC"
15,"Electra","Eur. El.","grc","Euripides","tlg0006.tlg012","http://data.perseus.org/texts/urn:cts:greekLit:tlg0006.tlg012","5th c. BC"
16,"Iphigenia in Tauris","Eur. IT","grc","Euripides","tlg0006.tlg013","http://data.perseus.org/texts/urn:cts:greekLit:tlg0006.tlg013","5th c. BC"
17,"Helen","Eur. Hel.","grc","Euripides","tlg0006.tlg014","http://data.perseus.org/texts/urn:cts:greekLit:tlg0006.tlg014","5th c. BC"
18,"Phoenissae","Eur. Phoen.","grc","Euripides","tlg0006.tlg015","http://data.perseus.org/texts/urn:cts:greekLit:tlg0006.tlg015","5th c. BC"
19,"Orestes","Eur. Orest.","grc","Euripides","tlg0006.tlg016","http://data.perseus.org/texts/urn:cts:greekLit:tlg0006.tlg016","5th c. BC"
20,"Bacchae","Eur. Ba.","grc","Euripides","tlg0006.tlg017","http://data.perseus.org/texts/urn:cts:greekLit:tlg0006.tlg017","5th c. BC"
21,"Iphigenia in Aulis","Eur. IA","grc","Euripides","tlg0006.tlg018","http://data.perseus.org/texts/urn:cts:greekLit:tlg0006.tlg018","5th c. BC"
22,"Rhesus","Eur. Rh.","grc","Euripides","tlg0006.tlg019","http://data.perseus.org/texts/urn:cts:greekLit:tlg0006.tlg019","5th c. BC"
23,"Fragmenta","Eur. Fr.","grc","Euripides","tlg0006.tlg020","http://www.archive.org/stream/tragicorumgraec00nauc#page/288/mode/2up","5th c. BC"
24,"Romulus","Plut. Rom.","grc","Plutarch","tlg0007.tlg002","http://data.perseus.org/citations/urn:cts:greekLit:tlg0007.tlg002.perseus-grc1:2.5","c. 1-c.199"
25,"Lycurgus","Plut. Lyc.","grc","Plutarch","tlg0007.tlg004","http://data.perseus.org/texts/urn:cts:greekLit:tlg0007.tlg004","c. 1-c.199"
26,"Solon","Plut. Sol.","grc","Plutarch","tlg0007.tlg007","http://data.perseus.org/citations/urn:cts:greekLit:tlg0007.tlg007","c. 1-c.199"
27,"Publicola","Plut. Publ.","grc","Plutarch","tlg0007.tlg008","http://data.perseus.org/texts/urn:cts:greekLit:tlg0007.tlg008","c. 1-c.199"
28,"Themistocles","Plut. Them.","grc","Plutarch","tlg0007.tlg010","http://data.perseus.org/citations/urn:cts:greekLit:tlg0007.tlg010","c. 1-c.199"
29,"Pericles","Plut. Per.","grc","Plutarch","tlg0007.tlg012","http://data.perseus.org/texts/urn:cts:greekLit:tlg0007.tlg012","c. 1-c.199"
30,"Caius Marcius Coriolanus","Plut. Cor.","grc","Plutarch","tlg0007.tlg016","http://data.perseus.org/texts/urn:cts:greekLit:tlg0007.tlg016","c. 1-c.199"
31,"Pelopidas","Plut. Pel.","grc","Plutarch","tlg0007.tlg021","http://data.perseus.org/texts/urn:cts:greekLit:tlg0007.tlg021","c. 1-c.199"
32,"Aristides","Plut. Arist.","grc","Plutarch","tlg0007.tlg024","http://data.perseus.org/citations/urn:cts:greekLit:tlg0007.tlg024","c. 1-c.199"
33,"Comparison of Aristides with Marcus Cato","Plut. Comp. Aristid. Cat.","grc","Plutarch","tlg0007.tlg026","http://data.perseus.org/texts/urn:cts:greekLit:tlg0007.tlg026","c. 1-c.199"
34,"Pyrrhus","Plut. Pyrrh.","grc","Plutarch","tlg0007.tlg030","http://data.perseus.org/citations/urn:cts:greekLit:tlg0007.tlg030.perseus-grc1:16.6","c. 1-c.199"
35,"Caius Marius","Plut. Mar.","grc","Plutarch","tlg0007.tlg031","http://data.perseus.org/texts/urn:cts:greekLit:tlg0007.tlg031","c. 1-c.199"
36,"Lysander","Plut. Lys.","grc","Plutarch","tlg0007.tlg032","http://data.perseus.org/texts/urn:cts:greekLit:tlg0007.tlg032","c. 1-c.199"
37,"Cimon","Plut. Cim.","grc","Plutarch","tlg0007.tlg035","http://data.perseus.org/texts/urn:cts:greekLit:tlg0007.tlg035","c. 1-c.199"
38,"Lucullus","Plut. Luc.","grc","Plutarch","tlg0007.tlg036","http://data.perseus.org/citations/urn:cts:greekLit:tlg0007.tlg036.perseus-grc1:25.1","c. 1-c.199"
39,"Comparison of Lucullus and Cimon","Plut. Comp. Cim. Luc.","grc","Plutarch","tlg0007.tlg037","http://data.perseus.org/citations/urn:cts:greekLit:tlg0007.tlg037.perseus-grc1:3.6","c. 1-c.199"
40,"Eumenes","Plut. Eum.","grc","Plutarch","tlg0007.tlg041","http://data.perseus.org/texts/urn:cts:greekLit:tlg0007.tlg041","c. 1-c.199"
41,"Pompey","Plut. Pomp.","grc","Plutarch","tlg0007.tlg045","http://data.perseus.org/citations/urn:cts:greekLit:tlg0007.tlg045.perseus-grc1:19.6","c. 1-c.199"
42,"Alexander","Plut. Alex.","grc","Plutarch","tlg0007.tlg047","http://data.perseus.org/texts/urn:cts:greekLit:tlg0007.tlg047","c. 1-c.199"
43,"Cato the Younger","Plut. Cat. Mi.","grc","Plutarch","tlg0007.tlg050","http://data.perseus.org/texts/urn:cts:greekLit:tlg0007.tlg035","c. 1-c.199"
44,"Demosthenes","Plut. Dem.","grc","Plutarch","tlg0007.tlg054","http://data.perseus.org/texts/urn:cts:greekLit:tlg0007.tlg054","c. 1-c.199"
45,"Cicero","Plut. Cic.","grc","Plutarch","tlg0007.tlg055","http://data.perseus.org/texts/urn:cts:greekLit:tlg0007.tlg055","c. 1-c.199"
46,"Antony","Plut. Ant.","grc","Plutarch","tlg0007.tlg058","http://data.perseus.org/texts/urn:cts:greekLit:tlg0007.tlg058","c. 1-c.199"
